Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
PRISMA M h;;;Серия Prisma;Ps232;;;3180.0;;;;;;185.0;;8 kW;450.0;широкая золотая  
PRISMA M h;;;Серия Prisma;Ps481;;;2706.0;;;;;;185.0;;8 kW;450.0;узкая хромированная 
PRISMA M h;;;Серия Prisma;Ps637;;;3180.0;;;;;;185.0;;8 kW;450.0;широкая хромированная 
PRISMA M h;;;Серия Prisma;Ps451;;;3180.0;;;;;;185.0;;8 kW;450.0;шлифованная, полированная  стальная 
PRISMA M h;;;Серия Prisma;Ps761;;;2760.0;;;;;;185.0;;8 kW;510.0;черная 
PRISMA M h;;;Серия Prisma;Ps371;;;2840.0;;;;;;185.0;;8 kW;510.0;латунная 
PRISMA M h;;;Серия Prisma;Ps617;;;2886.0;;;;;;185.0;;8 kW;510.0;узкая золотая  
PRISMA M h;;;Серия Prisma;Ps209;;;3365.0;;;;;;185.0;;8 kW;510.0;широкая золотая  
PRISMA M h;;;Серия Prisma;Ps475;;;2886.0;;;;;;185.0;;8 kW;510.0;узкая хромированная 
PRISMA M h;;;Серия Prisma;Ps271;;;3365.0;;;;;;185.0;;8 kW;510.0;широкая хромированная 
PRISMA M h;;;Серия Prisma;Ps359;;;3365.0;;;;;;185.0;;8 kW;510.0;шлифованная, полированная  стальная 
PRISMA M h;;;Серия Prisma;Ps595;;;2940.0;;;;;;185.0;;8 kW;570.0;черная 
PRISMA M h;;;Серия Prisma;Ps715;;;3015.0;;;;;;185.0;;8 kW;570.0;латунная 
PRISMA M h;;;Серия Prisma;Ph674;;;3065.0;;;;;;185.0;;8 kW;570.0;узкая золотая  
PRISMA M h;;;Серия Prisma;Ph360;;;3540.0;;;;;;185.0;;8 kW;570.0;широкая золотая  
PRISMA M h;;;Серия Prisma;Ph972;;;3065.0;;;;;;185.0;;8 kW;570.0;узкая хромированная 
PRISMA M h;;;Серия Prisma;Ph684;;;3540.0;;;;;;185.0;;8 kW;570.0;широкая хромированная 
PRISMA M h;;;Серия Prisma;Ph608;;;3540.0;;;;;;185.0;;8 kW;570.0;шлифованная, полированная  стальная 
PRISMA M h one part glass;;;Серия Prisma;Ps835;;;2810.0;;;;;;185.0;;8 kW;450.0;черная 
PRISMA M h one part glass;;;Серия Prisma;Ps563;;;2885.0;;;;;;185.0;;8 kW;450.0;латунная 
PRISMA M h one part glass;;;Серия Prisma;Ps917;;;2935.0;;;;;;185.0;;8 kW;450.0;узкая золотая  
PRISMA M h one part glass;;;Серия Prisma;Ps179;;;3410.0;;;;;;185.0;;8 kW;450.0;широкая золотая  
PRISMA M h one part glass;;;Серия Prisma;Ps567;;;2935.0;;;;;;185.0;;8 kW;450.0;узкая хромированная 
PRISMA M h one part glass;;;Серия Prisma;Ps844;;;3410.0;;;;;;185.0;;8 kW;450.0;широкая хромированная 
PRISMA M h one part glass;;;Серия Prisma;Ps852;;;3410.0;;;;;;185.0;;8 kW;450.0;шлифованная, полированная  стальная 
PRISMA M h one part glass;;;Серия Prisma;Ps888;;;2849.0;;;;;;185.0;;8 kW;510.0;черная 
PRISMA M h one part glass;;;Серия Prisma;Ps362;;;2925.0;;;;;;185.0;;8 kW;510.0;латунная 
PRISMA M h one part glass;;;Серия Prisma;Ps570;;;2978.0;;;;;;185.0;;8 kW;510.0;узкая золотая  
PRISMA M h one part glass;;;Серия Prisma;Ps294;;;3450.0;;;;;;185.0;;8 kW;510.0;широкая золотая  
PRISMA M h one part glass;;;Серия Prisma;Ps228;;;2978.0;;;;;;185.0;;8 kW;510.0;узкая хромированная 
PRISMA M h one part glass;;;Серия Prisma;Ps330;;;3450.0;;;;;;185.0;;8 kW;510.0;широкая хромированная 
PRISMA M h one part glass;;;Серия Prisma;Ps593;;;3450.0;;;;;;185.0;;8 kW;510.0;шлифованная, полированная  стальная 
PRISMA M h one part glass;;;Серия Prisma;Ps536;;;3040.0;;;;;;185.0;;8 kW;570.0;черная 
PRISMA M h one part glass;;;Серия Prisma;Ps765;;;3116.0;;;;;;185.0;;8 kW;570.0;латунная 
PRISMA M h one part glass;;;Серия Prisma;Ps982;;;3170.0;;;;;;185.0;;8 kW;570.0;узкая золотая  
PRISMA M h one part glass;;;Серия Prisma;Ps498;;;3650.0;;;;;;185.0;;8 kW;570.0;широкая золотая  
PRISMA M h one part glass;;;Серия Prisma;Ps516;;;3170.0;;;;;;185.0;;8 kW;570.0;узкая хромированная 
PRISMA M h one part glass;;;Серия Prisma;Ps858;;;3650.0;;;;;;185.0;;8 kW;570.0;широкая хромированная 
PRISMA M h one part glass;;;Серия Prisma;Ps668;;;3650.0;;;;;;185.0;;8 kW;570.0;шлифованная, полированная  стальная 
PRISMA MR;;;Серия Prisma;Ps711;;;1800.0;;;;;;170.0;;8 kW;450.0;черная 
PRISMA MR;;;Серия Prisma;Ps999;;;1875.0;;;;;;170.0;;8 kW;450.0;латунная 
PRISMA MR;;;Серия Prisma;Ps719;;;1925.0;;;;;;170.0;;8 kW;450.0;узкая золотая  
PRISMA MR;;;Серия Prisma;Ps790;;;2405.0;;;;;;170.0;;8 kW;450.0;широкая золотая  
PRISMA MR;;;Серия Prisma;Ps915;;;1925.0;;;;;;170.0;;8 kW;450.0;узкая хромированная 
PRISMA MR;;;Серия Prisma;Ps958;;;2405.0;;;;;;170.0;;8 kW;450.0;широкая хромированная 
PRISMA MR;;;Серия Prisma;Ps824;;;2405.0;;;;;;170.0;;8 kW;450.0;шлифованная, полированная  стальная 
PRISMA MR;;;Серия Prisma;Ps291;;;2110.0;;;;;;170.0;;8 kW;510.0;черная 
PRISMA MR;;;Серия Prisma;Ps523;;;2185.0;;;;;;170.0;;8 kW;510.0;латунная 
PRISMA MR;;;Серия Prisma;Ps332;;;2240.0;;;;;;170.0;;8 kW;510.0;узкая золотая  
PRISMA MR;;;Серия Prisma;Ps730;;;2715.0;;;;;;170.0;;8 kW;510.0;широкая золотая  
PRISMA MR;;;Серия Prisma;Ps242;;;2240.0;;;;;;170.0;;8 kW;510.0;узкая хромированная 
PRISMA MR;;;Серия Prisma;Ps388;;;2715.0;;;;;;170.0;;8 kW;510.0;широкая хромированная 
PRISMA MR;;;Серия Prisma;Ps406;;;2715.0;;;;;;170.0;;8 kW;510.0;шлифованная, полированная  стальная 
PRISMA MR;;;Серия Prisma;Ps481;;;2240.0;;;;;;170.0;;8 kW;570.0;черная 
PRISMA MR;;;Серия Prisma;Ps600;;;2315.0;;;;;;170.0;;8 kW;570.0;латунная 
PRISMA MR;;;Серия Prisma;Ps971;;;2367.0;;;;;;170.0;;8 kW;570.0;узкая золотая  
PRISMA MR;;;Серия Prisma;Ps378;;;2840.0;;;;;;170.0;;8 kW;570.0;широкая золотая  
PRISMA MR;;;Серия Prisma;Ps631;;;2367.0;;;;;;170.0;;8 kW;570.0;узкая хромированная 
PRISMA MR;;;Серия Prisma;Ps641;;;2840.0;;;;;;170.0;;8 kW;570.0;широкая хромированная 
